folder,img1,img2,match_count,wall_time_s,cpu_time_s
different_1,101_6.tif,105_6.tif,16,0.017201,0.015625
different_10,101_6.tif,104_7.tif,20,0.012320,0.015625
different_2,102_5.tif,106_7.tif,4,0.012729,0.015625
different_3,106_8.tif,107_6.tif,7,0.013300,0.015625
different_4,106_6.tif,106_7.tif,11,0.012720,0.015625
different_5,105_6.tif,107_6.tif,4,0.012605,0.093750
different_6,103_8.tif,104_1.tif,7,0.011100,0.093750
different_7,103_1.tif,107_6.tif,7,0.013197,0.078125
different_8,101_4.tif,104_4.tif,19,0.014091,0.015625
different_9,101_4.tif,107_6.tif,22,0.012606,0.015625
same_1,101_6.tif,101_7.tif,61,0.013378,0.015625
same_10,104_7.tif,104_8.tif,55,0.013202,0.015625
same_2,105_6.tif,105_7.tif,28,0.012152,0.000000
same_3,102_5.tif,102_6.tif,14,0.012251,0.015625
same_4,106_7.tif,106_8.tif,15,0.012264,0.015625
same_5,107_6.tif,107_7.tif,74,0.012753,0.000000
same_6,101_1.tif,101_2.tif,30,0.015981,0.015625
same_7,106_6.tif,106_7.tif,50,0.018797,0.015625
same_8,107_6.tif,107_7.tif,73,0.016128,0.015625
same_9,103_1.tif,103_2.tif,24,0.015346,0.015625
folder,img1,img2,match_count,wall_time_s,cpu_time_s
different,UiA front1.png,mci.jpg,29,0.055344,0.078125
same,UiA front1.png,UiA front3.jpg,35,0.060458,0.062500
